customer_id,name,phone,email,points,register_date,status
CUST001,Customer_01,0810000001,user1@email.com,0,2026-08-30,ปกติ
CUST002,Customer_02,0810000002,user2@email.com,0,2026-08-30,ปกติ
CUST003,Customer_03,0810000003,user3@email.com,0,2026-08-30,ปกติ
CUST004,Customer_04,0810000004,user4@email.com,0,2026-08-30,ปกติ
CUST005,Customer_05,0810000005,user5@email.com,0,2026-08-30,ปกติ
CUST006,Customer_06,0810000006,user6@email.com,0,2026-08-30,ปกติ
CUST007,Customer_07,0810000007,user7@email.com,0,2026-08-30,ปกติ
CUST008,Customer_08,0810000008,user8@email.com,0,2026-08-30,ปกติ
CUST009,Customer_09,0810000009,user9@email.com,0,2026-08-30,ปกติ
CUST010,Customer_10,0810000010,user10@email.com,0,2026-08-30,ปกติ
CUST011,Customer_11,0810000011,user11@email.com,0,2026-08-30,ปกติ
CUST012,Customer_12,0810000012,user12@email.com,0,2026-08-30,ปกติ
CUST013,Customer_13,0810000013,user13@email.com,0,2026-08-30,ปกติ
CUST014,Customer_14,0810000014,user14@email.com,0,2026-08-30,ปกติ
CUST015,Customer_15,0810000015,user15@email.com,0,2026-08-30,ปกติ
CUST016,Customer_16,0810000016,user16@email.com,0,2026-08-30,ปกติ
CUST017,Customer_17,0810000017,user17@email.com,0,2026-08-30,ปกติ
CUST018,Customer_18,0810000018,user18@email.com,0,2026-08-30,ปกติ
CUST019,Customer_19,0810000019,user19@email.com,0,2026-08-30,ปกติ
CUST020,Customer_20,0810000020,user20@email.com,0,2026-08-30,ปกติ
CUST021,Customer_21,0810000021,user21@email.com,0,2026-08-30,ปกติ
CUST022,Customer_22,0810000022,user22@email.com,0,2026-08-30,ปกติ
CUST023,Customer_23,0810000023,user23@email.com,0,2026-08-30,ปกติ
CUST024,Customer_24,0810000024,user24@email.com,0,2026-08-30,ปกติ
CUST025,Customer_25,0810000025,user25@email.com,0,2026-08-30,ปกติ
CUST026,Customer_26,0810000026,user26@email.com,0,2026-08-30,ปกติ
CUST027,Customer_27,0810000027,user27@email.com,0,2026-08-30,ปกติ
CUST028,Customer_28,0810000028,user28@email.com,0,2026-08-30,ปกติ
CUST029,Customer_29,0810000029,user29@email.com,0,2026-08-30,ปกติ
CUST030,Customer_30,0810000030,user30@email.com,0,2026-08-30,ปกติ
